% Model:              rhizosphere_equilibrium.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 27 2020, 10:14
% Dimension:          1
% Nodes:              1981
% Expressions:        15
% Description:        Abhängige Variable c
% R                       c (g/cm^3) @ t=0         c (g/cm^3) @ t=86400     c (g/cm^3) @ t=1.728E5   c (g/cm^3) @ t=2.592E5   c (g/cm^3) @ t=3.456E5   c (g/cm^3) @ t=4.32E5    c (g/cm^3) @ t=5.184E5   c (g/cm^3) @ t=6.048E5   c (g/cm^3) @ t=6.912E5   c (g/cm^3) @ t=7.776E5   c (g/cm^3) @ t=8.64E5    c (g/cm^3) @ t=9.504E5   c (g/cm^3) @ t=1.0368E6  c (g/cm^3) @ t=1.1232E6  c (g/cm^3) @ t=1.2096E6
0.02                      4.330253665824668E-4     3.990811535980937E-6     3.2795989554863913E-6    2.9487141587289952E-6    2.745120237995425E-6     2.6020965671735287E-6    2.4945171554803876E-6    2.4090527464610505E-6    2.338573641717876E-6     2.2794109769789034E-6    2.228724064354059E-6     2.1845351280472318E-6    2.145458678768854E-6     2.110526775510956E-6     2.0790109238599445E-6
0.020999999999999998      9.489839723481186E-4     4.725635876968276E-5     3.883713730144093E-5     3.491951174477874E-5     3.250882640751964E-5     3.081527257557197E-5     2.9541384897882467E-5    2.8529354422214773E-5    2.769476448522499E-5     2.6994172605157624E-5    2.639394418632912E-5     2.5870661163593453E-5    2.5407917891781695E-5    2.499425272075166E-5     2.4621039341952534E-5
0.021999999999999995      9.957681794965792E-4     8.848846511487482E-5     7.273456912742952E-5     6.540077479999873E-5     6.088719199485184E-5     5.771603177167188E-5     5.533054353050192E-5     5.34353438589647E-5      5.187239396346281E-5     5.0560350516901146E-5    4.943624345121089E-5     4.8456227597618295E-5    4.758958305824376E-5     4.6814846960873766E-5    4.6115866409235746E-5
0.022999999999999993      9.99702451155169E-4      1.278451225140861E-4     1.0511088850955863E-4    9.452005767351508E-5     8.800009722758098E-5     8.341863551555329E-5     7.997190730640389E-5     7.723342759970017E-5     7.497494505126007E-5     7.307894594636889E-5     7.145447998738759E-5     7.003821438241472E-5     6.878576603525448E-5     6.766612444534286E-5     6.665595255015971E-5
0.023999999999999987      9.999877229515124E-4     1.6546335124193186E-4    1.3608702382127618E-4    1.2238844614112168E-4    1.139519935732343E-4     1.0802266684258675E-4    1.0356128714050566E-4    1.0001637025559064E-4    9.709264192180802E-5     9.463802532615451E-5     9.253485614040596E-5     9.07011897528788E-5      8.907958339996078E-5     8.762989881221642E-5     8.632193221131003E-5
0.024999999999999988      0.001000001140797766     2.014627229569351E-4     1.6576881381293883E-4    1.491032591005115E-4     1.388344308374864E-4     1.316154326568192E-4     1.2618269763864083E-4    1.218655253489103E-4     1.1830461762685145E-4    1.1531483466205363E-4    1.1275298699513363E-4    1.1051933866147789E-4    1.0854394935548402E-4    1.0677794347091616E-4    1.0518454618721566E-4
0.02599999999999999       0.0010000004288940633    2.3594819546090228E-4    1.9424939937330005E-4    1.7475021988315283E-4    1.627280882201637E-4     1.5427389444743977E-4    1.4791021136305289E-4    1.428526283698103E-4     1.3868065640533524E-4    1.3517749901216522E-4    1.32175563012061E-4      1.2955809320303594E-4    1.272431776060822E-4     1.2517356790514106E-4    1.2330619481441392E-4
0.026999999999999986      0.001000000084116858     2.6901241190855854E-4    2.2161116343410273E-4    1.9940521739731835E-4    1.857044217500147E-4     1.7606623437498608E-4    1.6880946293506598E-4    1.630412512501879E-4     1.582826070080154E-4     1.542864010819409E-4     1.508616987461952E-4     1.478754552120287E-4     1.4523428080179016E-4    1.428728963789464E-4     1.4074219793633154E-4
0.027999999999999983      0.0010000000137477452    3.007375773319662E-4     2.479273177135973E-4     2.2313574668401378E-4    2.0782701187491192E-4    1.9705313635137538E-4    1.8893887943575364E-4    1.8248799218417285E-4    1.7716553886961745E-4    1.7269530899648584E-4    1.6886403618745043E-4    1.6552307824066345E-4    1.6256803358166038E-4    1.5992591401907416E-4    1.575418256579106E-4
0.02899999999999998       0.0010000000020588878    3.311970082802687E-4     2.732632106954679E-4     2.4600209644251635E-4    2.2915267438839527E-4    2.1728884216407754E-4    2.0835069476996017E-4    2.0124345655199772E-4    1.9537869530341948E-4    1.9045230609011167E-4    1.8622965441454073E-4    1.8254715960634282E-4    1.7928984901501385E-4    1.7637732927657803E-4    1.737491481734829E-4
