time,cm0,cm10,cm20,cm40,cm60,cm75
0.05,-35,-34.93,-31.15,-31,-31,-31
0.1,-35,-34.9,-31.23,-31,-31,-30.97
0.15,-35,-34.89,-31.29,-31,-31,-30.91
0.2,-35,-34.88,-31.35,-31,-31,-30.83
0.25,-35,-34.87,-31.4,-31,-31,-30.76
0.3,-34.99,-34.86,-31.45,-31,-31,-30.68
0.35,-34.98,-34.86,-31.49,-31,-31,-30.61
0.4,-34.97,-34.85,-31.54,-31,-31,-30.54
0.45,-34.95,-34.85,-31.58,-31,-31,-30.47
0.5,-34.92,-34.85,-31.62,-31,-31,-30.41
0.55,-34.88,-34.84,-31.67,-31,-30.99,-30.35
0.6,-34.85,-34.84,-31.71,-31,-30.99,-30.3
0.65,-34.83,-34.84,-31.74,-31,-30.99,-30.25
0.7,-34.81,-34.84,-31.78,-30.99,-30.99,-30.2
0.75,-34.81,-34.84,-31.82,-30.99,-30.98,-30.14
0.8,-34.82,-34.84,-31.86,-30.99,-30.98,-30.1
0.85,-34.84,-34.84,-31.89,-30.99,-30.98,-30.06
0.9,-34.87,-34.84,-31.93,-30.99,-30.97,-30.02
0.95,-34.91,-34.84,-31.96,-30.99,-30.97,-29.99
1,-34.96,-34.84,-32,-30.99,-30.97,-29.94
1.05,-35.01,-34.83,-32.03,-30.98,-30.96,-29.9
1.1,-35.06,-34.83,-32.07,-30.98,-30.96,-29.85
1.15,-35.11,-34.83,-32.1,-30.98,-30.96,-29.82
1.2,-35.16,-34.83,-32.14,-30.98,-30.95,-29.78
1.25,-35.21,-34.83,-32.17,-30.98,-30.95,-29.74
1.3,-35.26,-34.83,-32.21,-30.98,-30.95,-29.69
1.35,-35.3,-34.83,-32.24,-30.98,-30.95,-29.65
1.4,-35.34,-34.83,-32.27,-30.98,-30.95,-29.59
1.45,-35.38,-34.83,-32.3,-30.98,-30.94,-29.54
1.5,-35.41,-34.83,-32.34,-30.99,-30.94,-29.49
1.55,-35.45,-34.83,-32.37,-30.99,-30.94,-29.43
1.6,-35.48,-34.83,-32.4,-30.99,-30.94,-29.38
1.65,-35.52,-34.84,-32.43,-30.99,-30.94,-29.32
1.7,-35.57,-34.84,-32.46,-30.99,-30.94,-29.26
1.75,-35.63,-34.85,-32.49,-31,-30.94,-29.21
1.8,-35.7,-34.85,-32.52,-31,-30.94,-29.15
1.85,-35.78,-34.86,-32.55,-31,-30.94,-29.09
1.9,-35.87,-34.87,-32.58,-31.01,-30.94,-29.03
1.95,-35.96,-34.88,-32.61,-31.01,-30.94,-28.97
2,-36.07,-34.89,-32.64,-31.02,-30.95,-28.9
2.05,-36.19,-34.9,-32.67,-31.02,-30.95,-28.84
2.1,-36.3,-34.91,-32.7,-31.02,-30.95,-28.78
2.15,-36.43,-34.92,-32.72,-31.03,-30.95,-28.72
2.2,-36.57,-34.93,-32.75,-31.04,-30.96,-28.66
2.25,-36.71,-34.95,-32.78,-31.04,-30.96,-28.6
2.3,-36.82,-34.96,-32.8,-31.05,-30.96,-28.54
2.35,-36.98,-34.98,-32.83,-31.05,-30.97,-28.48
2.4,-37.14,-34.99,-32.86,-31.06,-30.97,-28.42
2.45,-37.27,-35.01,-32.88,-31.06,-30.97,-28.37
2.5,-37.39,-35.03,-32.91,-31.07,-30.98,-28.31
2.55,-37.33,-35.05,-32.94,-31.08,-30.98,-28.25
2.6,-37.42,-35.07,-32.96,-31.09,-30.99,-28.19
2.65,-37.37,-35.08,-32.97,-31.09,-30.99,-28.12
2.7,-37.33,-35.1,-32.99,-31.09,-30.99,-28.07
2.75,-37.27,-35.13,-33.02,-31.1,-31,-28.01
2.8,-37.13,-35.16,-33.04,-31.11,-31,-27.95
2.85,-36.9,-35.19,-33.07,-31.12,-31.01,-27.89
2.9,-36.56,-35.21,-33.09,-31.12,-31.01,-27.83
2.95,-36.12,-35.25,-33.11,-31.13,-31.02,-27.78
3,-35.62,-35.28,-33.14,-31.14,-31.02,-27.72
3.05,-35.08,-35.31,-33.16,-31.15,-31.03,-27.66
3.1,-34.51,-35.34,-33.19,-31.15,-31.03,-27.61
3.15,-33.94,-35.37,-33.21,-31.16,-31.04,-27.55
3.2,-33.41,-35.41,-33.23,-31.17,-31.05,-27.5
3.25,-32.93,-35.44,-33.25,-31.18,-31.05,-27.44
3.3,-32.53,-35.47,-33.28,-31.19,-31.06,-27.39
3.35,-32.2,-35.5,-33.3,-31.2,-31.06,-27.33
3.4,-31.93,-35.53,-33.32,-31.2,-31.07,-27.27
3.45,-31.72,-35.55,-33.34,-31.21,-31.07,-27.22
3.5,-31.56,-35.57,-33.36,-31.22,-31.08,-27.16
3.55,-31.46,-35.57,-33.39,-31.23,-31.09,-27.11
3.6,-31.41,-35.56,-33.41,-31.24,-31.09,-27.05
3.65,-31.41,-35.54,-33.43,-31.24,-31.1,-27
3.7,-31.44,-35.5,-33.45,-31.25,-31.1,-26.95
3.75,-31.48,-35.44,-33.47,-31.26,-31.11,-26.89
3.8,-31.54,-35.36,-33.49,-31.27,-31.11,-26.84
3.85,-31.6,-35.27,-33.51,-31.28,-31.12,-26.79
3.9,-31.67,-35.17,-33.53,-31.29,-31.12,-26.74
3.95,-31.72,-35.05,-33.55,-31.29,-31.13,-26.69
4,-31.78,-34.94,-33.57,-31.3,-31.14,-26.64
4.05,-31.82,-34.82,-33.59,-31.31,-31.14,-26.59
4.1,-31.86,-34.7,-33.62,-31.32,-31.15,-26.54
4.15,-31.9,-34.59,-33.64,-31.33,-31.15,-26.49
4.2,-31.93,-34.48,-33.66,-31.33,-31.16,-26.44
4.25,-31.96,-34.37,-33.68,-31.34,-31.16,-26.39
4.3,-32,-34.27,-33.7,-31.35,-31.17,-26.34
4.35,-32.03,-34.18,-33.72,-31.36,-31.17,-26.29
