psi err 

0, ot 2, errPsi(0) 0.0482484, psiXyl -3050.63, psiXyl_old -2910.22 size 172, errRatio flux 0.0602063, outputFlux -0.000712703, outputFlux_old -0.000669794, errFlux(5) 0.0640633, sum(errFlux(7)) 0.0640633
1, ot 2, errPsi(0) 0.0482484, psiXyl -3043, psiXyl_old -2903.05 size 172, errRatio flux 0.0604246, outputFlux -0.000350928, outputFlux_old -0.000329723, errFlux(5) 0.0643106, sum(errFlux(7)) 0.128374
2, ot 2, errPsi(0) 0.0482484, psiXyl -3032.85, psiXyl_old -2893.51 size 172, errRatio flux 0.0604145, outputFlux -0.000349456, outputFlux_old -0.000328344, errFlux(5) 0.0643106, sum(errFlux(7)) 0.192673
3, ot 2, errPsi(0) 0.0482484, psiXyl -3022.9, psiXyl_old -2884.16 size 172, errRatio flux 0.0605581, outputFlux -0.000347123, outputFlux_old -0.000326102, errFlux(5) 0.0644617, sum(errFlux(7)) 0.257135
4, ot 2, errPsi(0) 0.0482484, psiXyl -3013.02, psiXyl_old -2874.88 size 172, errRatio flux 0.0666392, outputFlux -0.0209547, outputFlux_old -0.0195583, errFlux(5) 0.071397, sum(errFlux(7)) 0.328532
5, ot 2, errPsi(0) 0.0482484, psiXyl -3007.59, psiXyl_old -2869.75 size 172, errRatio flux 0.0604195, outputFlux -0.000350957, outputFlux_old -0.000329753, errFlux(5) 0.071397, sum(errFlux(7)) 0.392836
6, ot 2, errPsi(0) 0.0482484, psiXyl -3033.11, psiXyl_old -2893.77 size 172, errRatio flux 0.0604069, outputFlux -0.0003495, outputFlux_old -0.000328388, errFlux(5) 0.071397, sum(errFlux(7)) 0.457127
7, ot 2, errPsi(0) 0.0482484, psiXyl -3023.56, psiXyl_old -2884.82 size 172, errRatio flux 0.0604102, outputFlux -0.000347973, outputFlux_old -0.000326951, errFlux(5) 0.071397, sum(errFlux(7)) 0.521421
8, ot 2, errPsi(0) 0.0482484, psiXyl -3013.96, psiXyl_old -2875.82 size 172, errRatio flux 0.068892, outputFlux -0.0202695, outputFlux_old -0.0188731, errFlux(5) 0.0739892, sum(errFlux(7)) 0.59541
9, ot 2, errPsi(0) 0.0482484, psiXyl -3008.78, psiXyl_old -2870.93 size 172, errRatio flux 0.0602157, outputFlux -0.000710367, outputFlux_old -0.000667592, errFlux(5) 0.0739892, sum(errFlux(7)) 0.659484
10, ot 2, errPsi(0) 0.0482484, psiXyl -3035.94, psiXyl_old -2896.4 size 172, errRatio flux 0.0603902, outputFlux -0.000350083, outputFlux_old -0.000328941, errFlux(5) 0.0739892, sum(errFlux(7)) 0.723756
