line,Date,ET (kg/m2)
1,2020-01-01,0.403259839709175
2,2020-01-02,0.140095043315492
3,2020-01-03,0.134198396537523
4,2020-01-04,0.60636282860884
5,2020-01-05,0.568010714535028
6,2020-01-06,0.382238362234632
7,2020-01-07,0.564958211791247
8,2020-01-08,0.910785492857152
9,2020-01-09,0.6160499243629
10,2020-01-10,0.430526384070336
11,2020-01-11,0.897811442684198
12,2020-01-12,0.62600881961492
13,2020-01-13,0.279453061108339
14,2020-01-14,0.0635333818744142
15,2020-01-15,0.380399271515918
16,2020-01-16,0.533873468865206
17,2020-01-17,0.590478863708306
18,2020-01-18,0.812940232998776
19,2020-01-19,0.714285713482007
20,2020-01-20,0.310524927479359
21,2020-01-21,0.153737049962532
22,2020-01-22,0.370141641695715
23,2020-01-23,0.259625315905139
24,2020-01-24,0.226456560100096
25,2020-01-25,0.255999781470169
26,2020-01-26,0.13989132698074
27,2020-01-27,0.240877842378556
28,2020-01-28,0.211853862890805
29,2020-01-29,0.176417565212175
30,2020-01-30,0.228834693941882
31,2020-01-31,0.209209110818799
32,2020-02-01,0.180137754990869
33,2020-02-02,0.19889453348706
34,2020-02-03,0.148469752370593
35,2020-02-04,0.90202893499209
36,2020-02-05,0.607164747383087
37,2020-02-06,0.46898758454308
38,2020-02-07,0.370601457513804
39,2020-02-08,0.488253862784399
40,2020-02-09,0.38281472306427
41,2020-02-10,0.163740305788626
42,2020-02-11,0.244161588967546
43,2020-02-12,0.300889285905803
44,2020-02-13,0.665543512780621
45,2020-02-14,0.409242711537694
46,2020-02-15,0.470330320488738
47,2020-02-16,0.121127189664145
48,2020-02-17,0.246678062401749
49,2020-02-18,0.401483673399804
50,2020-02-19,0.463660423852959
51,2020-02-20,0.396047302915473
52,2020-02-21,0.539647302951436
53,2020-02-22,0.213277551765242
54,2020-02-23,0.0429705540468298
55,2020-02-24,0.19979890644325
56,2020-02-25,0.476183236481584
57,2020-02-26,0.927924489749069
58,2020-02-27,1.01093360048559
59,2020-02-28,0.792511296689337
60,2020-02-29,0.601220337500141
61,2020-03-01,0.128210275933347
62,2020-03-02,0.402032362046825
63,2020-03-03,0.541740014496582
64,2020-03-04,0.695293001861973
65,2020-03-05,1.02672084655515
66,2020-03-06,1.46027004315841
67,2020-03-07,1.86693046662316
68,2020-03-08,1.64578972314954
69,2020-03-09,0.580747375476679
70,2020-03-10,1.83717820678265
71,2020-03-11,1.70416464930702
72,2020-03-12,1.62468819260297
73,2020-03-13,3.74732346732832
74,2020-03-14,2.36049264052519
75,2020-03-15,2.46632900851461
76,2020-03-16,1.81780561194389
77,2020-03-17,2.89164744695491
78,2020-03-18,1.51643527533218
79,2020-03-19,0.435973129709439
80,2020-03-20,3.26818415878813
81,2020-03-21,3.07812325078614
82,2020-03-22,2.80578935517775
83,2020-03-23,1.62358185025876
84,2020-03-24,2.53830058312277
85,2020-03-25,2.37902310652979
86,2020-03-26,1.55773680750552
87,2020-03-27,2.32092099048132
88,2020-03-28,2.13350809128743
89,2020-03-29,3.15869213115022
90,2020-03-30,4.20501370384811
91,2020-03-31,3.31624577379088
92,2020-04-01,3.77616625337837
93,2020-04-02,3.36613578655629
94,2020-04-03,2.47311945898192
95,2020-04-04,3.85882047974333
96,2020-04-05,4.11158425623752
97,2020-04-06,3.96532682574873
98,2020-04-07,4.38996560354622
99,2020-04-08,4.48778483801611
100,2020-04-09,5.51965050308072
101,2020-04-10,4.68558724437441
102,2020-04-11,4.1876789373142
103,2020-04-12,2.444005900792
104,2020-04-13,5.03410910882338
105,2020-04-14,3.60605575504873
106,2020-04-15,3.14360779706313
107,2020-04-16,3.29195233119472
108,2020-04-17,3.1664819310775
109,2020-04-18,4.79466151235402
110,2020-04-19,5.08910057947865
111,2020-04-20,5.88625903727362
112,2020-04-21,5.49446785241452
113,2020-04-22,5.43861545904732
114,2020-04-23,4.99104540462744
115,2020-04-24,4.01338185078896
116,2020-04-25,5.19136799598227
117,2020-04-26,6.0212633356061
118,2020-04-27,6.03882121231744
119,2020-04-28,4.62881771147077
120,2020-04-29,5.15225597686045
121,2020-04-30,6.39297616985727
122,2020-05-01,6.37386990479756
123,2020-05-02,6.91245407630681
124,2020-05-03,6.85338381428065
125,2020-05-04,5.69806129574428
126,2020-05-05,3.70396115272455
127,2020-05-06,5.59040546834295
128,2020-05-07,6.52396267513492
129,2020-05-08,6.05292107047562
130,2020-05-09,6.06660065428509
131,2020-05-10,4.15967601833121
132,2020-05-11,5.47522725586293
133,2020-05-12,5.47750050819998
134,2020-05-13,5.10954343872932
135,2020-05-14,5.61342456650108
136,2020-05-15,6.75421887080106
137,2020-05-16,5.62070167603368
138,2020-05-17,3.08117974021692
139,2020-05-18,3.14898330459789
140,2020-05-19,4.20430168048981
141,2020-05-20,5.86068586131922
142,2020-05-21,5.66047990895569
143,2020-05-22,4.75652446673841
144,2020-05-23,4.76840021537275
145,2020-05-24,5.94406909532519
146,2020-05-25,6.14138403699975
147,2020-05-26,5.61496785674081
148,2020-05-27,6.0959835285348
149,2020-05-28,6.70172340425041
150,2020-05-29,7.54212092588664
151,2020-05-30,6.65344751715313
152,2020-05-31,6.42186231776507
153,2020-06-01,6.80010860463273
154,2020-06-02,7.86336647908125
155,2020-06-03,8.00530728272029
156,2020-06-04,7.95472624906646
157,2020-06-05,7.99215422827023
158,2020-06-06,8.50935517559941
159,2020-06-07,9.09060727403046
160,2020-06-08,9.04112432892746
161,2020-06-09,6.47934971224115
162,2020-06-10,6.23620910686237
163,2020-06-11,9.17106327649108
164,2020-06-12,7.92287791974343
165,2020-06-13,7.07686588750289
166,2020-06-14,8.3427615972024
167,2020-06-15,8.669831191138
168,2020-06-16,8.76413616737888
169,2020-06-17,8.53129540136187
170,2020-06-18,7.8140442489535
171,2020-06-19,6.8271538606538
172,2020-06-20,4.87681873112309
173,2020-06-21,6.96817966348576
174,2020-06-22,5.2204749992568
175,2020-06-23,6.57232565504469
176,2020-06-24,7.1054929268951
177,2020-06-25,7.95275503900934
178,2020-06-26,6.61369519261507
179,2020-06-27,7.59124737056977
180,2020-06-28,7.52113156172694
181,2020-06-29,7.39933402892799
182,2020-06-30,8.01889628397828
183,2020-07-01,7.35290167526323
184,2020-07-02,7.75450998527316
185,2020-07-03,7.77732404779762
186,2020-07-04,7.76329497137153
187,2020-07-05,7.90161748912522
188,2020-07-06,7.65683972244708
189,2020-07-07,7.60020473573368
190,2020-07-08,8.18134708828551
191,2020-07-09,6.46014344101397
192,2020-07-10,7.95394817420414
193,2020-07-11,7.14828272498384
194,2020-07-12,7.52315430425694
195,2020-07-13,7.48211398903204
196,2020-07-14,6.84105787749888
197,2020-07-15,6.33670014872843
198,2020-07-16,7.34398374578348
199,2020-07-17,7.572752187968
200,2020-07-18,7.78326515953325
201,2020-07-19,8.48395714606905
202,2020-07-20,6.71528053735505
203,2020-07-21,6.50169263393469
204,2020-07-22,7.21937521171292
205,2020-07-23,6.86291851142405
