DAS;L_WT;L_RTH3;S_WT;S_RTH3
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0.020850091;0.00845043;0.021839866;0.008087779
8;0.023043665;0.009390739;0.023765521;0.008866368
9;0.025237238;0.010331048;0.025691177;0.009644956
10;0.027430812;0.011271357;0.027616832;0.010423545
11;0.029624386;0.012211666;0.029542487;0.011202134
12;0.031817959;0.013151975;0.031468143;0.011980722
13;0.034011533;0.014092284;0.033393798;0.012759311
14;0.036205107;0.015032593;0.035319453;0.013537899
15;0.039996926;0.016701215;0.038424567;0.014838185
16;0.043788745;0.018369836;0.041529682;0.016138471
17;0.047580565;0.020038458;0.044634796;0.017438757
18;0.051372384;0.02170708;0.04773991;0.018739042
19;0.055164204;0.023375701;0.050845024;0.020039328
20;0.058956023;0.025044323;0.053950138;0.021339614
21;0.062747842;0.026712944;0.057055252;0.0226399
22;0.069267834;0.029665478;0.062044251;0.024807074
23;0.075787826;0.032618012;0.06703325;0.026974249
24;0.082307818;0.035570546;0.07202225;0.029141423
25;0.08882781;0.038523079;0.077011249;0.031308597
26;0.095347802;0.041475613;0.082000248;0.033475772
27;0.101867794;0.044428147;0.086989247;0.035642946
28;0.108387786;0.047380681;0.091978246;0.037810121
29;0.119495555;0.05257153;0.09994896;0.041408472
30;0.130603324;0.05776238;0.107919673;0.045006824
31;0.141711093;0.06295323;0.115890387;0.048605175
32;0.152818861;0.06814408;0.123861101;0.052203527
33;0.16392663;0.07333493;0.131831815;0.055801879
34;0.175034399;0.07852578;0.139802529;0.05940023
35;0.186142168;0.083716629;0.147773242;0.062998582
36;0.204774819;0.092748217;0.16039698;0.068936132
37;0.22340747;0.101779804;0.173020717;0.074873682
38;0.242040121;0.110811391;0.185644455;0.080811233
39;0.260672772;0.119842978;0.198268193;0.086748783
40;0.279305422;0.128874565;0.21089193;0.092686333
41;0.297938073;0.137906152;0.223515668;0.098623884
42;0.316570724;0.14693774;0.236139405;0.104561434
43;0.346995142;0.162361374;0.255852778;0.114258341
