WP,gs
-0.3,406.14
-0.3,405.86
-0.3,405.57
-0.3,405.29
-0.31,405
-0.31,404.71
-0.31,404.42
-0.31,404.13
-0.31,403.84
-0.31,403.55
-0.31,403.25
-0.32,402.96
-0.32,402.66
-0.32,402.36
-0.32,402.06
-0.32,401.76
-0.32,401.46
-0.32,401.15
-0.33,400.85
-0.33,400.54
-0.33,400.23
-0.33,399.92
-0.33,399.61
-0.33,399.3
-0.33,398.99
-0.34,398.67
-0.34,398.36
-0.34,398.04
-0.34,397.72
-0.34,397.4
-0.34,397.08
-0.34,396.76
-0.34,396.43
-0.35,396.11
-0.35,395.78
-0.35,395.45
-0.35,395.12
-0.35,394.79
-0.35,394.46
-0.35,394.12
-0.36,393.79
-0.36,393.45
-0.36,393.11
-0.36,392.77
-0.36,392.43
-0.36,392.09
-0.36,391.74
-0.37,391.4
-0.37,391.05
-0.37,390.7
-0.37,390.35
-0.37,390
-0.37,389.65
-0.37,389.29
-0.38,388.94
-0.38,388.58
-0.38,388.22
-0.38,387.86
-0.38,387.5
-0.38,387.14
-0.38,386.77
-0.39,386.41
-0.39,386.04
-0.39,385.67
-0.39,385.3
-0.39,384.93
-0.39,384.55
-0.39,384.18
-0.4,383.8
-0.4,383.43
-0.4,383.05
-0.4,382.67
-0.4,382.28
-0.4,381.9
-0.4,381.51
-0.41,381.13
-0.41,380.74
-0.41,380.35
-0.41,379.96
-0.41,379.56
-0.41,379.17
-0.41,378.77
-0.41,378.38
-0.42,377.98
-0.42,377.58
-0.42,377.17
-0.42,376.77
-0.42,376.36
-0.42,375.96
-0.42,375.55
-0.43,375.14
-0.43,374.73
-0.43,374.31
-0.43,373.9
-0.43,373.48
-0.43,373.07
-0.43,372.65
-0.44,372.23
-0.44,371.81
-0.44,371.38
-0.44,370.96
-0.44,370.53
-0.44,370.1
-0.44,369.67
-0.45,369.24
-0.45,368.81
-0.45,368.37
-0.45,367.94
-0.45,367.5
-0.45,367.06
-0.45,366.62
-0.46,366.18
-0.46,365.73
-0.46,365.29
-0.46,364.84
-0.46,364.39
-0.46,363.94
-0.46,363.49
-0.47,363.04
-0.47,362.58
-0.47,362.12
-0.47,361.67
-0.47,361.21
-0.47,360.75
-0.47,360.28
-0.48,359.82
-0.48,359.35
-0.48,358.89
-0.48,358.42
-0.48,357.95
-0.48,357.48
-0.48,357
-0.48,356.53
-0.49,356.05
-0.49,355.57
-0.49,355.09
-0.49,354.61
-0.49,354.13
-0.49,353.64
-0.49,353.16
-0.5,352.67
-0.5,352.18
-0.5,351.69
-0.5,351.2
-0.5,350.71
-0.5,350.21
-0.5,349.71
-0.51,349.22
-0.51,348.72
-0.51,348.21
-0.51,347.71
-0.51,347.21
-0.51,346.7
-0.51,346.19
-0.52,345.68
-0.52,345.17
-0.52,344.66
-0.52,344.15
-0.52,343.63
-0.52,343.12
-0.52,342.6
-0.53,342.08
-0.53,341.56
-0.53,341.04
-0.53,340.51
-0.53,339.99
-0.53,339.46
-0.53,338.93
-0.54,338.4
-0.54,337.87
-0.54,337.34
-0.54,336.8
-0.54,336.27
-0.54,335.73
-0.54,335.19
-0.55,334.65
-0.55,334.11
-0.55,333.56
-0.55,333.02
-0.55,332.47
-0.55,331.93
-0.55,331.38
-0.56,330.83
-0.56,330.27
-0.56,329.72
-0.56,329.17
-0.56,328.61
-0.56,328.05
-0.56,327.49
-0.56,326.93
-0.57,326.37
-0.57,325.81
-0.57,325.24
-0.57,324.68
-0.57,324.11
-0.57,323.54
-0.57,322.97
-0.58,322.4
-0.58,321.83
-0.58,321.25
-0.58,320.68
-0.58,320.1
-0.58,319.52
-0.58,318.94
-0.59,318.36
-0.59,317.78
-0.59,317.2
-0.59,316.61
-0.59,316.02
-0.59,315.44
-0.59,314.85
-0.6,314.26
-0.6,313.67
-0.6,313.07
-0.6,312.48
-0.6,311.88
-0.6,311.29
-0.6,310.69
-0.61,310.09
-0.61,309.49
-0.61,308.89
-0.61,308.29
-0.61,307.68
-0.61,307.08
-0.61,306.47
-0.62,305.86
-0.62,305.26
-0.62,304.65
-0.62,304.04
-0.62,303.42
-0.62,302.81
-0.62,302.2
-0.63,301.58
-0.63,300.96
-0.63,300.34
-0.63,299.73
-0.63,299.11
-0.63,298.48
-0.63,297.86
-0.63,297.24
-0.64,296.61
-0.64,295.99
-0.64,295.36
-0.64,294.73
-0.64,294.1
-0.64,293.48
-0.64,292.84
-0.65,292.21
-0.65,291.58
-0.65,290.95
-0.65,290.31
-0.65,289.67
-0.65,289.04
-0.65,288.4
-0.66,287.76
-0.66,287.12
-0.66,286.48
-0.66,285.84
-0.66,285.2
-0.66,284.55
-0.66,283.91
-0.67,283.26
-0.67,282.62
-0.67,281.97
-0.67,281.32
-0.67,280.67
-0.67,280.02
-0.67,279.37
-0.68,278.72
-0.68,278.07
-0.68,277.42
-0.68,276.76
-0.68,276.11
-0.68,275.45
-0.68,274.8
-0.69,274.14
-0.69,273.48
-0.69,272.83
-0.69,272.17
-0.69,271.51
-0.69,270.85
-0.69,270.18
-0.7,269.52
-0.7,268.86
-0.7,268.2
-0.7,267.53
-0.7,266.87
-0.7,266.2
-0.7,265.54
-0.71,264.87
-0.71,264.21
-0.71,263.54
-0.71,262.87
-0.71,262.2
-0.71,261.53
-0.71,260.86
-0.71,260.19
-0.72,259.52
-0.72,258.85
-0.72,258.18
-0.72,257.51
-0.72,256.83
-0.72,256.16
-0.72,255.49
-0.73,254.81
-0.73,254.14
-0.73,253.46
-0.73,252.79
-0.73,252.11
-0.73,251.43
-0.73,250.76
-0.74,250.08
-0.74,249.4
-0.74,248.73
-0.74,248.05
-0.74,247.37
-0.74,246.69
-0.74,246.01
-0.75,245.33
-0.75,244.65
-0.75,243.97
-0.75,243.29
-0.75,242.61
-0.75,241.93
-0.75,241.25
-0.76,240.57
-0.76,239.89
-0.76,239.21
-0.76,238.53
-0.76,237.85
-0.76,237.17
-0.76,236.48
-0.77,235.8
-0.77,235.12
-0.77,234.44
-0.77,233.76
-0.77,233.07
-0.77,232.39
-0.77,231.71
-0.78,231.03
-0.78,230.34
-0.78,229.66
-0.78,228.98
-0.78,228.3
-0.78,227.62
-0.78,226.93
-0.78,226.25
-0.79,225.57
-0.79,224.89
-0.79,224.21
-0.79,223.52
-0.79,222.84
-0.79,222.16
-0.79,221.48
-0.8,220.8
-0.8,220.12
-0.8,219.44
-0.8,218.75
-0.8,218.07
-0.8,217.39
-0.8,216.71
-0.81,216.03
-0.81,215.35
-0.81,214.67
-0.81,214
-0.81,213.32
-0.81,212.64
-0.81,211.96
-0.82,211.28
-0.82,210.6
-0.82,209.93
-0.82,209.25
-0.82,208.57
-0.82,207.9
-0.82,207.22
-0.83,206.55
-0.83,205.87
-0.83,205.2
-0.83,204.52
-0.83,203.85
-0.83,203.18
-0.83,202.5
-0.84,201.83
-0.84,201.16
-0.84,200.49
-0.84,199.82
-0.84,199.15
-0.84,198.48
-0.84,197.81
-0.85,197.14
-0.85,196.47
-0.85,195.8
-0.85,195.14
-0.85,194.47
-0.85,193.8
-0.85,193.14
-0.85,192.47
-0.86,191.81
-0.86,191.15
-0.86,190.48
-0.86,189.82
-0.86,189.16
-0.86,188.5
-0.86,187.84
-0.87,187.18
-0.87,186.52
-0.87,185.87
-0.87,185.21
-0.87,184.55
-0.87,183.9
-0.87,183.24
-0.88,182.59
-0.88,181.94
-0.88,181.28
-0.88,180.63
-0.88,179.98
-0.88,179.33
-0.88,178.68
-0.89,178.04
-0.89,177.39
-0.89,176.74
-0.89,176.1
-0.89,175.45
-0.89,174.81
-0.89,174.17
-0.9,173.53
-0.9,172.89
-0.9,172.25
-0.9,171.61
-0.9,170.97
-0.9,170.33
-0.9,169.7
-0.91,169.06
-0.91,168.43
-0.91,167.79
-0.91,167.16
-0.91,166.53
-0.91,165.9
-0.91,165.27
-0.92,164.65
-0.92,164.02
-0.92,163.39
-0.92,162.77
-0.92,162.15
-0.92,161.52
-0.92,160.9
-0.93,160.28
-0.93,159.66
-0.93,159.04
-0.93,158.43
-0.93,157.81
-0.93,157.2
-0.93,156.58
-0.93,155.97
-0.94,155.36
-0.94,154.75
-0.94,154.14
-0.94,153.53
-0.94,152.93
-0.94,152.32
-0.94,151.72
-0.95,151.12
-0.95,150.52
-0.95,149.92
-0.95,149.32
-0.95,148.72
-0.95,148.12
-0.95,147.53
-0.96,146.93
-0.96,146.34
-0.96,145.75
-0.96,145.16
-0.96,144.57
-0.96,143.98
-0.96,143.4
-0.97,142.81
-0.97,142.23
-0.97,141.65
-0.97,141.06
-0.97,140.48
-0.97,139.91
-0.97,139.33
-0.98,138.75
-0.98,138.18
-0.98,137.61
-0.98,137.04
-0.98,136.46
-0.98,135.9
-0.98,135.33
-0.99,134.76
-0.99,134.2
-0.99,133.63
-0.99,133.07
-0.99,132.51
-0.99,131.95
-0.99,131.4
-1,130.84
-1,130.29
-1,129.73
-1,129.18
-1,128.63
-1,128.08
-1,127.53
-1,126.99
-1.01,126.44
-1.01,125.9
-1.01,125.36
-1.01,124.82
-1.01,124.28
-1.01,123.74
-1.01,123.2
-1.02,122.67
-1.02,122.14
-1.02,121.61
-1.02,121.08
-1.02,120.55
-1.02,120.02
-1.02,119.49
-1.03,118.97
-1.03,118.45
-1.03,117.93
-1.03,117.41
-1.03,116.89
-1.03,116.37
-1.03,115.86
-1.04,115.34
-1.04,114.83
-1.04,114.32
-1.04,113.81
-1.04,113.3
-1.04,112.8
