Days	TopIn_[kg/m2/day]	BottomIn_[kg/m2/day]	TranspirationRate_[kg/day]	Evaporation_[kg/m2/day]
1	3.39806395262838	0	0	3.39806395262839
2	5.22148816063872	0	0.001309389164902	5.15636448625589
3	3.27148088636984	0	0.002618778329804	3.14123353760417
4	2.86245610224643	0	0.003928167494706	2.66708507909791
5	2.69050554737607	0	0.005237556659607	2.43001084984471
6	3.17050912295194	0	0.006546945824509	2.84489075103773
7	3.76904981315431	0	0.007856334989411	3.37830776685727
8	3.46750441230632	0	0.008978668559327	3.02094207368112
9	5.67850330298034	0	0.010101002129243	5.176120672027
10	3.9562668759099	0	0.011223335699159	3.3980639526284
11	3.30086448047862	0	0.012345669269075	2.68684126486896
12	3.198635286638	0	0.01346800283899	2.5287917787002
13	5.78324735766637	0	0.014590336408906	5.05758355740042
14	3.58686247208965	0	0.015712669978822	2.80537837949555
15	4.78854153914132	0	0.016835003548738	3.95123715421907
16	3.34289171286622	0	0.017957337118654	2.44976703561582
17	2.5294398312662	0	0.01907967068857	1.58049486168764
18	2.30867352279899	0	0.020202004258486	1.30390826089228
19	4.06352579144136	0	0.021324337828401	3.0029402372065
20	3.05251205213035	0	0.022446671398317	1.93610620556734
21	2.51564677132566	0	0.023569004968233	1.3434206324345
22	3.33851004374138	0	0.025813672108065	2.05464332019392
23	3.76624960073518	0	0.028058339247897	2.37074229253142
24	3.27366941759957	0	0.030303006387728	1.26439588935011
25	0	0	0.03254767352756	2.37074229253145
26	0	0	0.034792340667392	1.77805671939858
27	0	0	0.037037007807223	5.68978150207546
28	19.2473183045727	0	0.039281674947055	2.76586600795334
29	3.72957611632145	0	0.043209842441761	1.58049486168765
30	3.64836053867459	0	0.047138009936466	1.30390826089226
31	0	0	0.051066177431172	3.0819649802909
32	0	0	0.054012303052201	3.27952683800182
33	15.8825042702305	0	0.05695842867323	1.46195774706106
34	5.23161328091991	0	0.059904554294259	2.25220517790487
35	0	0	0.062850679915288	4.89953407123163
36	0	0	0.068088236574895	1.93610620556734
37	0	0	0.073325793234503	3.43757632417058
38	0	0	0.07856334989411	3.12147735183308
39	0	0	0.083473559262492	2.96342786566432
40	41.1059858111873	0	0.088383768630874	2.13366806327829
41	5.5093339737057	0	0.093293977999256	0.869272173928175
42	0	0	0.098204187367638	2.70608378981001
43	0	0	0.104096438609696	2.28627274464855
44	0	0	0.109988689851754	2.39122550593891
45	0	0	0.115880941093812	2.60113102851965
46	0	0	0.121773192335871	2.07636722206781
47	0	0	0.124391970665675	1.54098249014544
48	55.4728824520817	0	0.127010748995478	2.01513094865173
49	8.69944894180626	0	0.129629527325282	2.25220517790486
50	0	0	0.132248305655086	2.25220517790486
51	0	0	0.134867083984889	2.25220517790486
